"NCT_id","matched_string","criteria_string","parent_concept_id","parent_concept_name","w.mod"
"NCT03937804","scoliosis","ve pulmonary disease, chronic obstructive airway disease,
             emphysema, chronic bronchitis, lung transplant, kyphoscoliosis, sarcoidosis,
             bronchopulmonary dysplasia, cystic fibr",72418,"Scoliosis deformity of spine",FALSE
"NCT00252252","scoliosis","ar disease (eg. old polio, bilateral diaphragm
             paralysis) or chest wall disease (eg. idiopathic scoliosis, thoracoplasty)

          -  Recruited from 1300 patients attending Royal Brompt",72418,"Scoliosis deformity of spine",FALSE
"NCT03329716","scoliosis","en wearing underarm (Boston) bracing, and who have reached
             skeletal maturity based on the Scoliosis Research Society (SRS) standardized criteria:
             Risser stage ≥4, >2 years po",72418,"Scoliosis deformity of spine",FALSE
"NCT03090971","scoliosis","-  a distinct osseous lesion, such as sphenoid wing dysplasia, pseudoarthrosis of the
             tibia, macrocephaly, or scoliosis

          -  a first-degree relative with NF1

          -  Presen",72418,"Scoliosis deformity of spine",FALSE
"NCT03404232","scoliosis","pine

          -  Relevant peripheral neuropathy

          -  Acute denervation subsequent to a radiculopathy

          -  Scoliosis with Cobb angle greater than 25°

          -  Spondylolisthesis",72418,"Scoliosis deformity of spine",FALSE
"NCT01467882","scoliosis"," or other study endpoints (e.g. chronic steroid use [except mild topical steroids],
             renal failure, diabetes, moderate to severe scoliosis, previously treated intracranial
             tum",72418,"Scoliosis deformity of spine",TRUE
"NCT03581084","scoliosis","tis, vocal cord dysfunction
             (that is the sole cause of respiratory symptoms and at the PI's discretion), severe
             scoliosis or chest wall deformities that affect lung function,",72418,"Scoliosis deformity of spine",TRUE
"NCT01926275","scoliosis","nced
             bronchiectases, active tuberculosis, post tuberculosis syndrome, pneumonia, severe
             kyphoscoliosis, tracheostoma, neuromuscular diseases, or any other disorder, which
   ",72418,"Scoliosis deformity of spine",TRUE
"NCT01784094","scoliosis",":

          -  previous severe back or lower extremity injury or surgery

          -  major structural spinal deformity (scoliosis, kyphosis, stenosis)

          -  ankylosing spondylitis or rheuma",72418,"Scoliosis deformity of spine",TRUE
"NCT02131090","scoliosis","men

          -  BMI < 50

        Exclusion Criteria:

          -  BMI >50

          -  Documented diagnosis of scoliosis and/or other significant lumbar spinal pathology

          -  Previous lu",72418,"Scoliosis deformity of spine",TRUE
"NCT02081430","muscle wasting","nce of central nervous system involvement such as exaggerated reflexes, changes
             in sensation in the hands, muscle wasting in the hands, impaired sensation of the
             face, altere",78236,"Muscle atrophy",FALSE
"NCT01571674","muscle wasting"," of central nervous system involvement, to include hyperreflexia, sensory
             disturbances in the hand, intrinsic muscle wasting of the hands, unsteadiness during
             walking, nystag",78236,"Muscle atrophy",FALSE
"NCT03078543","muscular atrophy","ct has conditions that may interfere with the TKA survival or outcome (e.g.
             Paget's or Charcot's disease, vascular insufficiency, muscular atrophy, uncontrolled
             diabetes mell",78236,"Muscle atrophy",FALSE
"NCT02668835","muscular atrophy","e - Multiple sclerosis, amyotrophic lateral sclerosis, motor
             neuritis, progressive bulbar palsy, progressive muscular atrophy, spinal muscular
             atrophy

          -  Significa",78236,"Muscle atrophy",FALSE
"NCT03981575","muscle wasting","udy:

          -  Known CTG repeat expansion size less than 100 repeats, unless there are clear cut
             signs of limb weakness and muscle wasting. This is in order to obtain a muscle tissue
",78236,"Muscle atrophy",FALSE
"NCT00394043","muscle atrophy","atency greater than
             0.2 ms

        Exclusion Criteria:

          -  severe CTS that has progressed to muscle atrophy

          -  pregnancy

          -  previous wrist surgery on the ",78236,"Muscle atrophy",TRUE
"NCT03424707","muscular atrophy","g confirmed
             degenerative spondylosis, severe arthritis or severe osteoporosis) (2) myositis,
             muscular atrophy, myotonia, myasthenia (3) peptic ulcer or duodenal ulcer (4)
   ",78236,"Muscle atrophy",TRUE
"NCT02741076","amyotrophy","on, severe or progressive lower extremity weakness or numbness, bowel or
             bladder dysfunction as a result of cauda equina compression, diabetic amyotrophy,
             meningitis, diskiti",78236,"Muscle atrophy",TRUE
"NCT03517319","muscle atrophy","fore screening

          -  history or plan for tendon lengthening surgery

          -  significant contracture ormuscle atrophy at the target joint or muscle

          -  concurrent treatment with",78236,"Muscle atrophy",TRUE
"NCT01427361","muscular atrophy"," Exclusion Criteria:

          1. Patient with infection or sepsis.

          2. Patient with any vascular insufficiency, muscular atrophy, or neuromuscular disease
             severe enough to com",78236,"Muscle atrophy",TRUE
"NCT00692172","systemic infection","al hematology values or history of an immunosuppressive
             disorder

          -  Serious local infection or systemic infection within 3 months prior to the first dose
             of alefac",132797,"Sepsis",FALSE
