NCT_id,matched_string,manual_string,criteria_string,parent_concept_id,parent_concept_name,w.mod,severity_modifier,severity_term,pre_post,snomed_id,snomed_name,
NCT03937804,scoliosis,kyphoscoliosis,"ve pulmonary disease, chronic obstructive airway disease, emphysema, chronic bronchitis, lung transplant, kyphoscoliosis, sarcoidosis, bronchopulmonary dysplasia, cystic fibr",72418,Scoliosis deformity of spine,FALSE,unmarked,,,405773007,Kyphoscoliosis deformity of spine (disorder),
NCT00252252,scoliosis,scoliosis,"ar disease (eg. old polio, bilateral diaphragm
             paralysis) or chest wall disease (eg. idiopathic scoliosis, thoracoplasty)

          -  Recruited from 1300 patients attending Royal Brompt",72418,Scoliosis deformity of spine,FALSE,unmarked,,,203639008,Idiopathic scoliosis (disorder),
NCT03329716,scoliosis,scoliosis,"en wearing underarm (Boston) bracing, and who have reached
             skeletal maturity based on the Scoliosis Research Society (SRS) standardized criteria:
             Risser stage ≥4, >2 years po",72418,Scoliosis deformity of spine,FALSE,N/A,,,N/A,N/A,
NCT03090971,scoliosis,scoliosis,"a distinct osseous lesion, such as sphenoid wing dysplasia, pseudoarthrosis of the
             tibia, macrocephaly, or scoliosis

          -  a first-degree relative with NF1

          -  Presen",72418,Scoliosis deformity of spine,FALSE,unmarked,,,298382003,Scoliosis deformity of spine (disorder),
NCT03404232,scoliosis,scoliosis,"pine

          -  Relevant peripheral neuropathy

          -  Acute denervation subsequent to a radiculopathy

          -  Scoliosis with Cobb angle greater than 25°

          -  Spondylolisthesis",72418,Scoliosis deformity of spine,FALSE,unmarked,,,298382003,Scoliosis deformity of spine (disorder),
NCT01467882,scoliosis,severe scoliosis," or other study endpoints (e.g. chronic steroid use [except mild topical steroids],
             renal failure, diabetes, moderate to severe scoliosis, previously treated intracranial
             tum",72418,Scoliosis deformity of spine,TRUE,severe,severe,post,37394658,Severe sepsis,
NCT03581084,scoliosis,severe scoliosis,"tis, vocal cord dysfunction
             (that is the sole cause of respiratory symptoms and at the PI's discretion), severe
             scoliosis or chest wall deformities that affect lung function,",72418,Scoliosis deformity of spine,TRUE,severe,severe,post,37394658,Severe sepsis,
NCT01926275,scoliosis,severe kyphoscoliosis,"nced
             bronchiectases, active tuberculosis, post tuberculosis syndrome, pneumonia, severe
             kyphoscoliosis, tracheostoma, neuromuscular diseases, or any other disorder, which
   ",72418,Scoliosis deformity of spine,TRUE,severe,severe,post,443531,Kyphoscoliosis deformity of spine (disorder),
NCT01784094,scoliosis,scoliosis,":

          -  previous severe back or lower extremity injury or surgery

          -  major structural spinal deformity (scoliosis, kyphosis, stenosis)

          -  ankylosing spondylitis or rheuma",72418,Scoliosis deformity of spine,TRUE,unmarked,,,298382003,Scoliosis deformity of spine (disorder),
NCT02131090,scoliosis,scoliosis,"men

          -  BMI < 50

        Exclusion Criteria:

          -  BMI >50

          -  Documented diagnosis of scoliosis and/or other significant lumbar spinal pathology

          -  Previous lu",72418,Scoliosis deformity of spine,TRUE,unmarked,,,298382003,Scoliosis deformity of spine (disorder),
NCT02081430,muscle wasting,muscle wasting,"nce of central nervous system involvement such as exaggerated reflexes, changes
             in sensation in the hands, muscle wasting in the hands, impaired sensation of the
             face, altere",78236,Muscle atrophy,FALSE,unmarked,,,88092000,Muscle atrophy (disorder),
NCT01571674,muscle wasting,muscle wasting," of central nervous system involvement, to include hyperreflexia, sensory
             disturbances in the hand, intrinsic muscle wasting of the hands, unsteadiness during
             walking, nystag",78236,Muscle atrophy,FALSE,unmarked,,,88092000,Muscle atrophy (disorder),
NCT03078543,muscular atrophy,muscular atrophy,"ct has conditions that may interfere with the TKA survival or outcome (e.g.
             Paget's or Charcot's disease, vascular insufficiency, muscular atrophy, uncontrolled
             diabetes mell",78236,Muscle atrophy,FALSE,unmarked,,,88092000,Muscle atrophy (disorder),
NCT02668835,muscular atrophy,progressive muscular atrophy,"e - Multiple sclerosis, amyotrophic lateral sclerosis, motor
             neuritis, progressive bulbar palsy, progressive muscular atrophy, spinal muscular
             atrophy

          -  Significa",78236,Muscle atrophy,FALSE,unmarked,,,88923002,Progressive muscular atrophy (disorder),
NCT03981575,muscle wasting,muscle wasting,"udy:

          -  Known CTG repeat expansion size less than 100 repeats, unless there are clear cut
             signs of limb weakness and muscle wasting. This is in order to obtain a muscle tissue
",78236,Muscle atrophy,FALSE,unmarked,,,88092000,Muscle atrophy (disorder),
NCT00394043,muscle atrophy,muscle atrophy,"atency greater than
             0.2 ms

        Exclusion Criteria:

          -  severe CTS that has progressed to muscle atrophy

          -  pregnancy

          -  previous wrist surgery on the ",78236,Muscle atrophy,TRUE,unmarked,,,88092000,Muscle atrophy (disorder),
NCT03424707,muscular atrophy,muscular atrophy,"g confirmed
             degenerative spondylosis, severe arthritis or severe osteoporosis) (2) myositis,
             muscular atrophy, myotonia, myasthenia (3) peptic ulcer or duodenal ulcer (4)
   ",78236,Muscle atrophy,TRUE,unmarked,,,88092000,Muscle atrophy (disorder),
NCT02741076,amyotrophy,diabetic amyotrophy,"on, severe or progressive lower extremity weakness or numbness, bowel or
             bladder dysfunction as a result of cauda equina compression, diabetic amyotrophy,
             meningitis, diskiti",78236,Muscle atrophy,TRUE,unmarked,,,39058009,Lumbosacral radiculoplexus neuropathy co-occurrent and due to diabetes mellitus (disorder),
NCT03517319,muscle atrophy,muscle atrophy,"fore screening

          -  history or plan for tendon lengthening surgery

          -  significant contracture or muscle atrophy at the target joint or muscle

          -  concurrent treatment with",78236,Muscle atrophy,TRUE,unmarked,,,88092000,Muscle atrophy (disorder),
NCT01427361,muscular atrophy,muscular atrophy," Exclusion Criteria:

          1. Patient with infection or sepsis.

          2. Patient with any vascular insufficiency, muscular atrophy, or neuromuscular disease
             severe enough to com",78236,Muscle atrophy,TRUE,unmarked,,,88092000,Muscle atrophy (disorder),
NCT00692172,systemic infection,systemic infection,"al hematology values or history of an immunosuppressive
             disorder

          -  Serious local infection or systemic infection within 3 months prior to the first dose
             of alefac",132797,Sepsis,FALSE,unmarked,,,91302008,Sepsis (disorder),
NCT01865708,sepsis,urosepsis,"n applicable) consent for enrollment.

        Exclusion Criteria:

          -  18 yo or older.

          -  Urosepsis at time of study enrollment

          -  Known bladder or genitourinary abnorm",132797,Sepsis,FALSE,unmarked,,,721104000,Sepsis due to urinary tract infection (disorder),
NCT02370160,systemic infection,systemic infection,"r infectious pulmonary parenchymal disease

          -  Presence of active CNS leukemia

          -  Presence of any uncontrolled systemic infection

          -  Documented uncontrolled seizure dis",132797,Sepsis,FALSE,unmarked,,,91302008,Sepsis (disorder),
NCT03737929,sepsis,sepsis,"    -  Contra-indication to transoesophageal echocardiogram (TEE)

          -  Carotid stenosis > 80%,

          -  Active infection or sepsis

          -  Pleural adhesions,

          -  Elevated",132797,Sepsis,FALSE,unmarked,,,91302008,Sepsis (disorder),
NCT02304978,sepsis,severe sepsis,"able angina or myocardial infarction in the acute phase (not older
             than two months)

          -  Severe sepsis (hospitalization)

          -  Cirrhosis stage Child C

          -  Chron",132797,Sepsis,FALSE,severe,severe,pre,1036671000000100,Severe sepsis,
NCT01543022,systemic infection,systemic infection," that will preclude insertion of the Symphony
             device.

         10. Moderate to severe aortic insufficiency (2+ or more).

         11. Ongoing systemic infection defined as two of the fo",132797,Sepsis,TRUE,unmarked,,,91302008,Sepsis (disorder),
NCT00758862,systemic infection,systemic infection,"        Exclusion Criteria:

          -  Immunosuppressed state or other serious systemic disease

          -  Signs and/or symptoms of systemic infection, such as malaise and fever or local
       ",132797,Sepsis,TRUE,unmarked,,,91302008,Sepsis (disorder),
NCT03230916,sepsis,severe sepsis," been discontinued, or has received
             REL for any other reason.

          -  Has a current diagnosis of cystic fibrosis, meningitis, or severe sepsis.

          -  Is expected to survive ",132797,Sepsis,TRUE,severe,severe,pre,1036671000000100,Severe sepsis,
NCT01687166,sepsis,sepsis,"nths) prior to enrollment

          -  Left atrial appendage closure device

          -  Any other significant uncontrolled or unstable medical condition (e.g. sepsis, acute
             metabolic i",132797,Sepsis,TRUE,unmarked,,,91302008,Sepsis (disorder),
NCT01078610,sepsis,sepsis," the drug or one of the other ingredients

          -  Active tuberculosis or other severe infections (e.g. sepsis and opportunistic
             infections)

          -  Moderate to severe cardiac ",132797,Sepsis,TRUE,unmarked,,,91302008,Sepsis (disorder),
NCT02432638,cleft palate,cleft palate,"will include all infants regardless of syndromic diagnosis, other organ
             system abnormalities, cleft palate diagnosis or the presence of other concurrent
             craniofacial anomalie",135923,Cleft palate,FALSE,unmarked,,,87979003,Cleft palate (disorder),
NCT03366740,cleft palate,cleft lip and cleft palate,"     ICU support during the admission

          -  Birth defect like complex congenital heart diseases, cleft lip and cleft palate, Down
             syndrome and cerebral palsy and others that may i",135923,Cleft palate,FALSE,unmarked,,,66948001,Cleft palate with cleft lip (disorder),
