NCT_id,matched_string,manual_string,criteria_string,parent_concept_id,parent_concept_name,w.mod,severity_modifier,severity_term,pre_post,snomed_id,snomed_name,c2q_snomed_id,c2q_snomed_name
NCT00000456,panic,panic disorder,"y patient report, collateral report, and urine drug screen.

          -  Meets criteria for disorders of major depression, panic disorder, obsessive-compulsive
             disorder, post-traumatic s",4196358,Panic,FALSE,unmarked,,,371631005,Panic disorder (disorder),,
NCT00001247,affective disorder,Schizoaffective Disorder,"          -  Age 18 or older

          -  Male or female

          -  Diagnosis of Schizophrenia, Schizoaffective Disorder or Psychosis NOS. Subjects with
             other neuropsychiatric disorde",444100,Mood disorder,FALSE,unmarked,,,68890003,Schizoaffective disorder (disorder),,
NCT00001765,carrier,carrier," (normal blood count,
        normotensive, no history of stroke, no history of severe heart disease).

        Female x-linked CGD carriers must have greater than 30% normal neutrophils.

        EXC",4106092,Carrier of disorder,TRUE,unmarked,,,29679002,Carrier of disorder (finding),,
NCT00003394,malnutrition,severe malnutrition," attack or
        stroke within 6 months Neurologic: No grade 3-4 peripheral neuropathy Other: No severe
        infection No severe malnutrition No other serious medical illnesses

        PRIOR CON",4090739,Nutritional disorder,TRUE,severe,severe,pre,29740003,Nutritional marasmus (disorder),,
NCT00003409,postoperative complication,posteroperative complication," prior radiotherapy to face, head, or neck Surgery: See
        Disease Characteristics Recovered from prior surgery or postoperative complication Other:
        At least 48 hours since prior MRI scan",4300243,Postoperative complication,FALSE,unmarked,,,385486001,Postoperative complication (disorder),,
NCT00063336,visual impairment,visual impairment,"a minimum of 6 months prior to
             study entry

        Exclusion Criteria:

          -  Auditory or visual impairment

          -  Mental retardation (IQ less than 70)

          -  Trauma",4265433,Visual impairment,FALSE,unmarked,,,397540003,Visual impairment (disorder),,
NCT00070343,seizure disorder,seizure disorder,"
          -  Negative pregnancy test

          -  Fertile patients must use effective contraception

          -  No other significant medical disease

          -  No uncontrolled seizure disorder
",4029498,Seizure disorder,TRUE,unmarked,,,128613002,Seizure disorder (disorder),,
NCT00070954,mental retardation,mental retardation,"a

          -  Psychotic symptoms

          -  Lifetime history of schizophrenia, schizoaffective disorder, or mental retardation

          -  Diagnosis of anxiety disorder, obsessive-compulsive di",40277917,Intellectual disability,FALSE,unmarked,,,110359009,Intellectual disability (disorder),,
NCT00101959,carrier,insurance carrier,"     are of childbearing potential.

          -  The small minority of subjects for whom Rebif therapy is not reimbursed by their
             insurance carrier may be considered for the study if oth",4106092,Carrier of disorder,FALSE,unmarked,,,N/A,,,
NCT00106886,disability,severe physical disability," patient's ability to complete the study, such as: *history of alcohol or
             drug abuse, *psychiatric disorders, *senility, *severe physical disability, *illnesses
             including ter",4052648,Disability,TRUE,severe,severe,post,21134002,Disability (finding),,
NCT00108940,lactic acidosis,lactic acidosis,"          Leukoencephalopathy), Fabry's disease, homocystinuria, MELAS (Mitochondrial myopathy,
             Encephalopathy, Lactic Acidosis, Stroke), or sickle cell anemia.

          -  The subject ",4239233,Lactic acidosis,FALSE,unmarked,,,91273001,Lactic acidosis (disorder),,
NCT00114374,pain,pain,"idepressants, with the exception of trazodone < 100mg/day
             for sleep, or amitriptyline in doses ≤ 50 mg daily for pain. Patients may remain on
             concomitant benzodiazepines (<2 ",4329041,Pain,FALSE,unmarked,,,22253000,Pain (finding),,
NCT00118482,seizure disorder,seizure disorder,"Another clinical need for fludrocortisone that cannot be met with other drugs

          -  A permanent pacemaker

          -  A seizure disorder

          -  A major chronic non cardiovascular dise",4029498,Seizure disorder,FALSE,unmarked,,,128613002,Seizure disorder (disorder),,
NCT00130429,dementia,dementia,"ria:

          -  Recent history or clinical evidence of significant neurological disease other than
             dementia due to Alzheimer's disease

          -  Known to have another condition tha",4182210,Dementia,TRUE,unmarked,,,52448006,Dementia (disorder),,
NCT00137007,chronic obstructive pulmonary disease,chronic obstructive pulmonary disease,"         -  Bronchiectasis, bronchial obstruction or history of post-obstructive pneumonia
                  (this does not exclude patients with chronic obstructive pulmonary disease);

             ",255573,Chronic obstructive lung disease,FALSE,unmarked,,,13645005,Chronic obstructive lung disease (disorder),,
NCT00154154,mental retardation,mental retardation,"

          -  Psychotic disorder,bipolar I disorder, or dementia

          -  Evidence of an organic brain syndrome or mental retardation

          -  A chronic or serious physical health problem t",40277917,Intellectual disability,TRUE,unmarked,,,110359009,Intellectual disability (disorder),,
NCT00160680,allergic asthma,non-allergic asthma,"  Subjects currently treated by specific parietaria pollen immunotherapy

          -  Subjects suffering from non-allergic asthma

          -  Chronic use of inhaled steroids and/or long acting β2 a",4191479,Allergic asthma,FALSE,unmarked,,,266361008,Non-allergic asthma (disorder),,
NCT00183248,diarrhea,severe diarrhea,"     3 times the upper value of the normal range within 28 days prior to study entry

          -  Uncontrolled concomitant infections, severe diarrhea, vomiting, active upper
             gastrointes",196523,Diarrhea,TRUE,severe,severe,pre,409587002,Severe diarrhea (finding),,
NCT00193011,frailty,frailty,"

          -  Age 65 or older

          -  Under age 65 must have significant medical illness, or general frailty

          -  Adequate bone marrow, liver or kidney function

          -  Normal he",4086506,Frailty,TRUE,unmarked,,,248279007,Frailty (finding),,
NCT00196573,disability,disability,"s of conservative treatment. Failed conservative treatment will be
             defined as persistent pain and disability despite adequate non-operative management
             for 6 months. Non-opera",4052648,Disability,FALSE,unmarked,,,21134002,Disability (finding),,
NCT00224822,hyperglycemia,hyperglycemia,"         any clinically significant aspect of the metabolic syndrome including weight gain,
             hyperglycemia, diabetes, or hyperlipidemia, while on a second generation antipsychotic
        ",4214376,Hyperglycemia,TRUE,unmarked,,,80394007,Hyperglycemia (disorder),,
NCT00249535,major depression,severe or psychotic major depression,"serious, uncontrolled psychiatric illness (e.g., acute schizophrenia, bipolar
             disorder, severe or psychotic major depression, or suicide risk)

          -  have dementia (<23 on the Mini",4152280,Major depressive disorder,TRUE,unmarked,,,450714000,Severe major depression (disorder),,
NCT00252135,acute asthma,acute asthma exacerbation," Xolair therapy (e.g., patients who experienced a severe
             hypersensitivity reaction to Xolair)

          -  Acute asthma exacerbation within the previous 2 weeks of screening requiring an",4125022,Acute asthma,TRUE,unmarked,,,708038006,Acute exacerbation of asthma (disorder),,
NCT00252252,scoliosis,idiopathic scoliosis,"ar disease (eg. old polio, bilateral diaphragm
             paralysis) or chest wall disease (eg. idiopathic scoliosis, thoracoplasty)

          -  Recruited from 1300 patients attending Royal Brompt",72418,Scoliosis deformity of spine,FALSE,unmarked,,,203639008,Idiopathic scoliosis (disorder),N/A,
NCT00252980,learning disability,severe learning disability,"  current severe episode of Major depression

          -  current panic-agoraphobic disorder (severe)

          -  severe learning disability, brain damage or pervasive developmental disorder

     ",4085156,Developmental academic disorder,TRUE,severe,severe,post,1855002,Developmental academic disorder (disorder),,
NCT00257075,affective disorder,Schizoaffective Disorder,"MADRS) at start of the study

        Exclusion Criteria:

          -  Patients who meet DSM-IV criteria for Schizoaffective Disorder or for rapid cycling

          -  with borderline or antisocial ",444100,Mood disorder,FALSE,unmarked,,,68890003,Schizoaffective disorder (disorder),,
NCT00271258,affective disorder,Schizoaffective Disorder,"stablished or known mental retardation

               -  Autistic disorders

               -  Established schizophrenia

               -  Schizoaffective disorders

          -  Somatic criteria:

",444100,Mood disorder,FALSE,unmarked,,,68890003,Schizoaffective disorder (disorder),,
NCT00275704,diarrhea,chronic diarrhea,"levels and might have additive effects
             when used with antidiabetic drugs).

          -  Diagnosis of/problems with chronic diarrhea or history of bowel obstruction or
             esopha",196523,Diarrhea,FALSE,unmarked,,,236071009,Chronic diarrhea (disorder),,
