,NCT_id,matched_string,criteria_string,parent_concept_id,parent_concept_name,CONCEPT_GUESS,DESCENDANT_GUESS
0,NCT03937804,scoliosis,"ve pulmonary disease, chronic obstructive airway disease,
             emphysema, chronic bronchitis, lung transplant, kyphoscoliosis, sarcoidosis,
             bronchopulmonary dysplasia, cystic fibr",72418,Scoliosis deformity of spine,kyphoscoliosis,Lordoscoliosis
1,NCT00252252,scoliosis,"ar disease (eg. old polio, bilateral diaphragm
             paralysis) or chest wall disease (eg. idiopathic scoliosis, thoracoplasty)

          -  Recruited from 1300 patients attending Royal Brompt",72418,Scoliosis deformity of spine,scoliosis,Scoliosis
2,NCT03329716,scoliosis,"en wearing underarm (Boston) bracing, and who have reached
             skeletal maturity based on the Scoliosis Research Society (SRS) standardized criteria:
             Risser stage ≥4, >2 years po",72418,Scoliosis deformity of spine,scoliosis,Scoliosis
3,NCT03090971,scoliosis,"a distinct osseous lesion, such as sphenoid wing dysplasia, pseudoarthrosis of the tibia, macrocephaly, or scoliosis - a first-degree relative with NF1 - Presen	",72418,Scoliosis deformity of spine,scoliosis,Scoliosis
4,NCT03404232,scoliosis,"pine

          -  Relevant peripheral neuropathy

          -  Acute denervation subsequent to a radiculopathy

          -  Scoliosis with Cobb angle greater than 25°

          -  Spondylolisthesis",72418,Scoliosis deformity of spine,scoliosis,Scoliosis
5,NCT01467882,scoliosis," or other study endpoints (e.g. chronic steroid use [except mild topical steroids],
             renal failure, diabetes, moderate to severe scoliosis, previously treated intracranial
             tum",72418,Scoliosis deformity of spine,scoliosis,Scoliosis
6,NCT03581084,scoliosis,"tis, vocal cord dysfunction
             (that is the sole cause of respiratory symptoms and at the PI's discretion), severe
             scoliosis or chest wall deformities that affect lung function,",72418,Scoliosis deformity of spine,scoliosis,Scoliosis
7,NCT01926275,scoliosis,"nced
             bronchiectases, active tuberculosis, post tuberculosis syndrome, pneumonia, severe
             kyphoscoliosis, tracheostoma, neuromuscular diseases, or any other disorder, which
   ",72418,Scoliosis deformity of spine,kyphoscoliosis,Lordoscoliosis
8,NCT01784094,scoliosis,":

          -  previous severe back or lower extremity injury or surgery

          -  major structural spinal deformity (scoliosis, kyphosis, stenosis)

          -  ankylosing spondylitis or rheuma",72418,Scoliosis deformity of spine,scoliosis,Scoliosis
9,NCT02131090,scoliosis,"men

          -  BMI < 50

        Exclusion Criteria:

          -  BMI >50

          -  Documented diagnosis of scoliosis and/or other significant lumbar spinal pathology

          -  Previous lu",72418,Scoliosis deformity of spine,scoliosis,Scoliosis
10,NCT02081430,muscle wasting,"nce of central nervous system involvement such as exaggerated reflexes, changes
             in sensation in the hands, muscle wasting in the hands, impaired sensation of the
             face, altere",78236,Muscle atrophy,muscle wasting,Amyotrophy
11,NCT01571674,muscle wasting," of central nervous system involvement, to include hyperreflexia, sensory
             disturbances in the hand, intrinsic muscle wasting of the hands, unsteadiness during
             walking, nystag",78236,Muscle atrophy,muscle wasting,Amyotrophy
12,NCT03078543,muscular atrophy,"ct has conditions that may interfere with the TKA survival or outcome (e.g.
             Paget's or Charcot's disease, vascular insufficiency, muscular atrophy, uncontrolled
             diabetes mell",78236,Muscle atrophy,muscular atrophy,Amyotrophy
13,NCT02668835,muscular atrophy,"e - Multiple sclerosis, amyotrophic lateral sclerosis, motor
             neuritis, progressive bulbar palsy, progressive muscular atrophy, spinal muscular
             atrophy

          -  Significa",78236,Muscle atrophy,muscular atrophy,Amyotrophy
14,NCT03981575,muscle wasting,"udy:

          -  Known CTG repeat expansion size less than 100 repeats, unless there are clear cut
             signs of limb weakness and muscle wasting. This is in order to obtain a muscle tissue
",78236,Muscle atrophy,muscle wasting,Amyotrophy
15,NCT00394043,muscle atrophy,"atency greater than
             0.2 ms

        Exclusion Criteria:

          -  severe CTS that has progressed to muscle atrophy

          -  pregnancy

          -  previous wrist surgery on the ",78236,Muscle atrophy,muscle atrophy,Amyotrophy
16,NCT03424707,muscular atrophy,"g confirmed
             degenerative spondylosis, severe arthritis or severe osteoporosis) (2) myositis,
             muscular atrophy, myotonia, myasthenia (3) peptic ulcer or duodenal ulcer (4)
   ",78236,Muscle atrophy,muscular atrophy,Amyotrophy
17,NCT02741076,amyotrophy,"on, severe or progressive lower extremity weakness or numbness, bowel or
             bladder dysfunction as a result of cauda equina compression, diabetic amyotrophy,
             meningitis, diskiti",78236,Muscle atrophy,amyotrophy,Amyotrophy
