concept_id	concept_name	concept_code
45765743	Severe dry skin	702757002
45765900	Severe cognitive impairment	702956004
45766192	Severe hypoxic ischemic encephalopathy	703303004
40479642	Pneumonia due to Severe acute respiratory syndrome coronavirus	441590008
42872411	Severe major depression, single episode	251000119105
42872412	Severe mixed bipolar I disorder	271000119101
42872413	Severe depressed bipolar I disorder	261000119107
42872722	Severe major depression	450714000
42873066	Severe dehydration	450316000
43020451	Severe manic bipolar I disorder	23741000119105
43021814	Severe receptive language delay	89391000119105
43021823	Severe expressive language delay	62221000119105
44783877	Severe achondrolasia with developmental delay and acanthosis nigricans	699870002
44793476	Antenatal screening shows non significant carrier of sickle cell or thalassaemia	384511000000103
44793499	Antenatal screening shows significant carrier of sickle cell or thalassaemia	384671000000109
43531624	Severe recurrent major depression	281000119103
44789633	TAG score: very severe	205711000000101
44782720	Severe seasonal affective disorder	133121000119109
44796728	[X]Severe vulvar dysplasia, not elsewhere classified	424811000000103
44791725	Very severe chronic obstructive pulmonary disease	293991000000106
44790677	TAG score: severe	205701000000103
44791872	Non-significant carrier of disorder	302801000000107
44791873	Significant carrier of disorder	302811000000109
44791875	Non-significant homozygote	302841000000105
44794775	[X]Recurrent depressive disorder, current episode severe without psychotic symptoms	402441000000102
44793521	Severe chronic fatigue syndrome	377161000000108
44794929	Patient suffering from severe mental impairment under Mental Health Act 1983	400581000000107
44800999	[X]Other mental retardation, significant impairment of behaviour requiring attention or treatment	479801000000100
44801053	[X]Severe mental retardation with the statement of no, or minimal, impairment of behaviour	466971000000101
44800324	[X]Severe mental retardation, significant impairment of behaviour requiring attention or treatment	470851000000108
44800377	[X]Severe cervical dysplasia, not elsewhere classified	477581000000103
132685	Severe pre-eclampsia - not delivered	198985009
44801788	[X]Severe learning disability	508171000000105
44802020	Severe lymphoedema of limb	511221000000105
44805371	Severe lower urinary tract symptoms	763101000000106
44796187	[X]Unspecified severe protein-energy malnutrition	419491000000100
44805540	Mixed bipolar affective disorder, severe	764591000000108
44805542	Recurrent major depressive episodes, severe	764611000000100
44805543	Recurrent manic episodes, severe	764621000000106
44805545	Single manic episode, severe	764641000000104
44795731	[X]Moderate mental retardation, significant impairment of behaviour requiring attention or treatment	412931000000103
44798294	[X]Mild mental retardation, significant impairment of behaviour requiring attention or treatment	441311000000109
44798442	[X]Recurrent depressive disorder, current episode severe with psychotic symptoms	444051000000108
44805668	[X]Single major depressive episode, severe, with psychosis, psychosis in remission	755321000000106
44805669	[X]Recurrent major depressive episodes, severe, with psychosis, psychosis in remission	755331000000108
44795861	[X]Severe mental retardation, other impairments of behaviour	414741000000101
44797280	[X]Severe mental and behavioural disorders associated with the puerperium, not elsewhere classified	432081000000107
44798574	[X]Profound mental retardation, significant impairment of behaviour requiring attention or treatment	442261000000105
44800821	[X]Reaction to severe stress, unspecified	466091000000103
44801236	[X]Severe mental retardation without mention of impairment of behaviour	468051000000105
44798264	[X]Unspecified mental retardation, significant impairment of behaviour requiring attention or treatment	442361000000101
44813514	[X]Bipolar affective disorder, current episode severe depression without psychotic symptoms	465911000000102
44808886	Severe sensorineural hearing loss	860811000000106
44809027	Severe hypertension	843841000000109
44796366	[X]Other reactions to severe stress	415011000000100
44805139	Antenatal screening shows non significant haemoglobinopathy carrier	750571000000106
44805140	Antenatal screening shows carrier of significant haemoglobinopathy including sickle cell or thalassaemia	750601000000104
44805730	[D]Severe wheeze	755601000000105
44805731	[D]Very severe wheeze	755611000000107
44795878	[X]Other severe and complicated plasmodium falciparum malaria	411841000000106
44812417	[X]Severe vaginal dysplasia, not elsewhere classified	396371000000107
44806788	Severe visual impairment, binocular	813871000000108
44806789	Severe visual impairment, monocular	813881000000105
44810468	Bilateral severe sensorineural hearing loss	898061000000101
44810571	Severe cognitive impairment	888311000000101
29783	Severe combined immunodeficiency disease	31323000
381557	Impairment level: better eye: severe impairment: lesser eye: profound impairment	30272003
433536	Severe pre-eclampsia	46764007
372599	Severe mixed bipolar I disorder without psychotic features	46229002
372909	Impairment level: better eye: severe impairment: lesser eye: not further specified	39914007
374933	Impairment level: better eye: moderate impairment: lesser eye: severe impairment	29887003
374934	Impairment level: one eye: severe impairment: other eye: near-normal vision	72020003
376689	Impairment level: severe impairment of both eyes	86643000
374038	Impairment level: one eye: severe impairment: other eye: normal vision	75000006
374039	Impairment level: better eye: severe impairment: lesser eye: near-total impairment	1909000
432427	Severe birth asphyxia	57284007
320651	Severe acute respiratory syndrome	398447004
380717	Impairment level: better eye: severe impairment: lesser eye: total impairment	58937003
381013	Impairment level: one eye: severe impairment: other eye: not specified	31264007
436386	Severe depressed bipolar I disorder with psychotic features	59617007
442570	Severe depressed bipolar I disorder without psychotic features	61403008
435220	Severe recurrent major depression without psychotic features	36474008
439246	Mixed bipolar affective disorder, severe, with psychosis	191641004
439256	Bipolar affective disorder, currently manic, severe, with psychosis	191623007
439259	Single major depressive episode, severe, with psychosis	191604000
439262	Single manic episode, severe, with psychosis	191586008
439001	Severe mixed bipolar I disorder with psychotic features	10981006
437522	Severe mood disorder without psychotic features	88939009
437532	Recurrent manic episodes, severe, with psychosis	191595000
438406	Severe major depression, single episode, with psychotic features	430852001
438490	Severe pre-eclampsia - delivered	198983002
441534	Severe major depression, single episode, without psychotic features	76441001
438129	Severe manic bipolar I disorder with psychotic features, mood-congruent	78640000
439772	Carcinoma in situ of trachea	92772005
256716	Asthma with status asthmaticus	57546000
376114	Severe nonproliferative diabetic retinopathy	312905005
440370	Nutritional marasmus	29740003
432872	Classical phenylketonuria	7573000
378758	Impairment level: better eye: severe impairment: lesser eye: blind, not further specified	111518009
4009170	Tay-Sachs disease	111385000
4012965	Severely abnormal behavior	165312001
4009791	SCID due to absent IL-2 receptor	111587007
434895	Congenital neutropenia	89655007
434911	Recurrent major depressive episodes, severe, with psychosis	191613003
4011335	Severe vertigo, acute onset	103299002
439077	Severe pre-eclampsia - delivered with postnatal complication	198984008
