parent_concept_id	parent_concept_name	parent_concept_code	concept_synonym_name
4039266	Dry skin	16386004	Anhydrotic skin
4039266	Dry skin	16386004	Dry skin (finding)
4039266	Dry skin	16386004	Dry skin
443432	Impaired cognition	386806002	Cognitive disturbance
443432	Impaired cognition	386806002	Cognitive dysfunction
443432	Impaired cognition	386806002	Impaired cognition (finding)
443432	Impaired cognition	386806002	Cognitive decline
443432	Impaired cognition	386806002	Cognitive impairment
443432	Impaired cognition	386806002	Impaired cognition
443432	Impaired cognition	386806002	Cognitive deficit
45766189	Hypoxic ischemic encephalopathy	703300001	Hypoxic ischemic brain injury
45766189	Hypoxic ischemic encephalopathy	703300001	Hypoxic ischemic encephalopathy
45766189	Hypoxic ischemic encephalopathy	703300001	Hypoxic ischemic encephalopathy (disorder)
45766189	Hypoxic ischemic encephalopathy	703300001	Hypoxic ischaemic brain injury
45766189	Hypoxic ischemic encephalopathy	703300001	Hypoxic ischaemic encephalopathy
320651	Severe acute respiratory syndrome	398447004	SARS
320651	Severe acute respiratory syndrome	398447004	SARS-CoV infection
320651	Severe acute respiratory syndrome	398447004	Severe acute respiratory syndrome
320651	Severe acute respiratory syndrome	398447004	Severe acute respiratory syndrome (disorder)
37016927	Pneumonia caused by Human coronavirus	713084008	Pneumonia caused by Human coronavirus (disorder)
37016927	Pneumonia caused by Human coronavirus	713084008	Pneumonia caused by Human coronavirus
42872722	Severe major depression	450714000	Severe major depression
42872722	Severe major depression	450714000	Severe major depression (disorder)
4282096	Major depression, single episode	36923009	Major depression, single episode
4282096	Major depression, single episode	36923009	Major depressive disorder, single episode
4282096	Major depression, single episode	36923009	Major depression, single episode (disorder)
443906	Mixed bipolar I disorder	16506000	Bipolar I disorder, most recent episode mixed
443906	Mixed bipolar I disorder	16506000	Mixed bipolar I disorder
443906	Mixed bipolar I disorder	16506000	Mixed bipolar I disorder (disorder)
4154283	Severe bipolar I disorder	371599001	Severe bipolar I disorder (disorder)
4154283	Severe bipolar I disorder	371599001	Severe bipolar I disorder
441836	Depressed bipolar I disorder	49468007	Depressed bipolar I disorder (disorder)
441836	Depressed bipolar I disorder	49468007	Depressed bipolar I disorder
4154283	Severe bipolar I disorder	371599001	Severe bipolar I disorder (disorder)
4154283	Severe bipolar I disorder	371599001	Severe bipolar I disorder
4152280	Major depressive disorder	370143000	Major depressive disorder
4152280	Major depressive disorder	370143000	Major depressive disorder (disorder)
4152280	Major depressive disorder	370143000	Major depression
4149321	Severe depression	310497006	Severe depression
4149321	Severe depression	310497006	Severe depression (disorder)
