modified_concept_id	modified_concept_name	modified_concept_code	parent_concept_id	parent_concept_name	parent_concept_code
45765743	Severe dry skin	702757002	4039266	Dry skin	16386004
45765900	Severe cognitive impairment	702956004	443432	Impaired cognition	386806002
45766192	Severe hypoxic ischemic encephalopathy	703303004	45766189	Hypoxic ischemic encephalopathy	703300001
40479642	Pneumonia due to Severe acute respiratory syndrome coronavirus	441590008	320651	Severe acute respiratory syndrome	398447004
40479642	Pneumonia due to Severe acute respiratory syndrome coronavirus	441590008	37016927	Pneumonia caused by Human coronavirus	713084008
42872411	Severe major depression, single episode	251000119105	42872722	Severe major depression	450714000
42872411	Severe major depression, single episode	251000119105	4282096	Major depression, single episode	36923009
42872412	Severe mixed bipolar I disorder	271000119101	443906	Mixed bipolar I disorder	16506000
42872412	Severe mixed bipolar I disorder	271000119101	4154283	Severe bipolar I disorder	371599001
42872413	Severe depressed bipolar I disorder	261000119107	441836	Depressed bipolar I disorder	49468007
42872413	Severe depressed bipolar I disorder	261000119107	4154283	Severe bipolar I disorder	371599001
42872722	Severe major depression	450714000	4152280	Major depressive disorder	370143000
42872722	Severe major depression	450714000	4149321	Severe depression	310497006
42873066	Severe dehydration	450316000	435796	Dehydration	34095006
43020451	Severe manic bipolar I disorder	23741000119105	4287544	Manic bipolar I disorder	68569003
43020451	Severe manic bipolar I disorder	23741000119105	4154283	Severe bipolar I disorder	371599001
43021814	Severe receptive language delay	89391000119105	4041824	Receptive language delay	229736005
43021823	Severe expressive language delay	62221000119105	4039748	Expressive language delay	229734008
44783877	Severe achondrolasia with developmental delay and acanthosis nigricans	699870002	4299544	Acanthosis nigricans	402599005
44783877	Severe achondrolasia with developmental delay and acanthosis nigricans	699870002	4176947	Hereditary disorder of the integument	363185004
44783877	Severe achondrolasia with developmental delay and acanthosis nigricans	699870002	4041284	Functional finding	118228005
44783877	Severe achondrolasia with developmental delay and acanthosis nigricans	699870002	4178826	Hereditary disorder of musculoskeletal system	363212003
44783877	Severe achondrolasia with developmental delay and acanthosis nigricans	699870002	4311402	Achondroplasia	86268005
44783877	Severe achondrolasia with developmental delay and acanthosis nigricans	699870002	4006473	Autosomal dominant hereditary disorder	11164009
44793476	Antenatal screening shows non significant carrier of sickle cell or thalassaemia	384511000000103	4168318	Genetic disorder carrier	47461006
44793499	Antenatal screening shows significant carrier of sickle cell or thalassaemia	384671000000109	4168318	Genetic disorder carrier	47461006
43531624	Severe recurrent major depression	281000119103	42872722	Severe major depression	450714000
43531624	Severe recurrent major depression	281000119103	4282316	Recurrent major depression	66344007
44789633	TAG score: very severe	205711000000101	44788874	TAG score observations	199021000000107
44782720	Severe seasonal affective disorder	133121000119109	4092239	Seasonal affective disorder	247803002
44796728	[X]Severe vulvar dysplasia, not elsewhere classified	424811000000103	4174575	Vulval intraepithelial neoplasia grade 3	276875006
44791725	Very severe chronic obstructive pulmonary disease	293991000000106	255573	Chronic obstructive lung disease	13645005
44790677	TAG score: severe	205701000000103	44788874	TAG score observations	199021000000107
44791872	Non-significant carrier of disorder	302801000000107	4106092	Carrier of disorder	29679002
44791873	Significant carrier of disorder	302811000000109	4106092	Carrier of disorder	29679002
